lz_id,lz_status,lz_name,lz_city,lz_county,lz_state,lz_zip,lz_country,lz_type,lock_group_id,added_id,added_time,update_id,update_time,lz_id,address1,address2,cap_trauma,cap_cardiac,cap_stroke,cap_ob,cap_burn,cap_ped,main_phone,ed_phone,icu_phone,ccu_phone,sec_phone,ed_contact,icu_contact,ccu_contact,sec_contact,sec_freq,ground_name,ground_phone,exterior,faa_nav_id,nav_id,comm_channel,awos,nav_freq,lat_dec,lon_dec,lz_desc,hazards,app_dep,dimensions,max_weight,surface,windsock,elevation,lighting,fuel,ifr,nav_id_alt,lat_dec_alt,lon_dec_alt,desc_alt,comments
32201,1,82LA1 - SR 82 LANDING AREA1 .25 MILE,immokokalee,,FL,,,2,0,3011,2017-10-16 16:47:32,3011,2017-10-16 16:47:32,32201,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,26.4885,-81.446667,,"650 ft. or 1/8 mile East and West of reference point
Power Lines North and South of road",,,,,,,,0,0,,0,0,,
32202,1,82LA2 - SR 82 LANDING AREA2 .25 MILE,immokokalee,,FL,,,2,0,3011,2017-10-16 16:48:26,3011,2017-10-16 16:48:26,32202,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,26.4965,-81.477333,,"650 ft. or 1/8 mile East and West of reference point
Power Lines North and South of road",,,,,,,,0,0,,0,0,,
32203,1,82LA3 - SR 82 LANDING AREA3 .25 MILE,immokokalee,,FL,,,2,0,3011,2017-10-16 16:49:15,3011,2017-10-16 16:49:15,32203,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,26.501,-81.495667,,"650 ft. or 1/8 mile East and West of reference point
Power Lines North and South of road",,,,,,,,0,0,,0,0,,
2145,1,Advent health Celebration ,Kissimmee,,FL,34747,,1,0,25,2013-10-18 14:25:05,2081,2020-01-19 20:14:39,2145,400 Celebration Place,,0,0,0,0,0,0,407-764-4000,,,,,,,,,,,,,,77FL,,,,28.329319,-81.542844,Ground pad North side of hospital East of I-4.,300 FT ANTENNAS &#039;NE&#039; OF PAD & PLINES 300 DEGREES TO 030 DEGREES 0.5 NM FM PAD.,300 FT ANTENNAS &#039;NE&#039; OF PAD & PLINES 300 DEGREES TO 030 DEGREES 0.5 NM FM PAD.,68 x 68 ft.,,concrete,yes,,yes,0,0,,0,0,,1 mile NE of CELEBRATION
2164,1,Advent Health Orlando,Orlando,,FL,32803,,1,0,25,2013-10-19 12:31:50,2081,2020-01-19 20:19:10,2164,601 E ROLLINS,,0,1,1,1,0,1,407-303-1610,407-303-1941,,,407-303-1916,,,,,800 FREQ,,,,,37FA,155.400 - Tx/Rcv P.L. - 136.5,,,28.575669,-81.368286,Ground pad east of hospital northwest corner of Lake Estelle.,Buildings west and north of pad. Inside KORL executive class D airspace and under the 1600&#039; Class B shelf for Orlando international&#044; KMCO,Buildings west and north of pad. Inside KORL executive class D airspace and under the 1600&#039; Class B shelf for Orlando international&#044; KMCO,700 x 50,,concrete,yes,75 ft MSL,yes,0,0,,0,0,,Helipad can accommodate multiple rotor aircraft simultaneously. Symbols on North side of pad indicate where visiting aircraft should preferentially touchdown & park. &#039;Park 1&#039; is located on Northwest corner & &quot;Park 2&#039; on Northeast. The large &#039;H&#039; with rectangular dotted line around it can be utilized if Park 1 & 2 is already occupied. The South side is reserved for resident aircraft&#044; Faith Flight 1.
33490,1,"Air Care 1,  Orlando Health (ORMC), STCFL Base",Kissimmee,,FL,34741,,4,0,2087,2020-01-23 21:53:50,2087,2020-01-23 22:07:09,33490,,,0,0,0,0,0,0,4077259613,,,,,,,,,,,,,,KISM,124.45,,,28.295334,-81.446467,,,,,,,,,,0,1,,0,0,,Located on northwest corner of Kissimmee Gateway airport (KISM) just north of the Warbird Adventures hangar.
5266,1,Albert Whitted Airport,St. Petersburg,,FL,,,3,0,271,2015-01-19 08:35:33,271,2015-01-19 08:35:33,5266,107 8th Avenue Southest,,0,0,0,0,0,0,,,,,,,,,,,,,,,KSPG,,,,27.762768,-82.632546,,,,,,,,,,1,1,,0,0,,
32189,1,ALEL - AVALON ELEMENTARY SCHOOL,Naples,,FL,34112,,2,0,3011,2017-10-16 16:27:45,3011,2019-11-09 17:07:12,32189,3300 Thomasson Dr,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,26.1075,-81.763833,,"Soccer field E of School
Powerlines N along Thomasson Dr.
Flood lighting on outside of field","Soccer field E of School
Powerlines N along Thomasson Dr.
Flood lighting on outside of field",,,,,,,0,0,,0,0,,
2127,1,All Children's Hospital,St Petersburg,,FL,33701,,1,0,25,2013-10-18 11:54:15,2081,2015-12-08 20:08:49,2127,500 7th Ave S,,0,0,0,0,0,1,727-767-4446,,,,,,,,,,,,,,FL14,,,,27.765119,-82.640636,Rooftop helipad south of i175. Hospital NE side of Bayfront Medical Center,Airport 1/2 mile east of hospital.Be aware of DG problems due to MRI facility close to the pad,Noise sensetive area southwest of the hospital.,,,,yes,,yes,0,0,,0,0,,
5324,1,Apalachacola 1,Panama City,,FL,,,5,0,10,2015-02-15 08:37:37,10,2015-02-15 08:37:37,5324,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,29.9665,-85.858167,,,,,,,,,,0,0,,0,0,,
2264,1,Archer Emergency Heliport,Archer,,FL,,,2,0,25,2013-10-20 17:25:37,25,2013-10-20 17:25:37,2264,,,0,0,0,0,0,0,,,,,,,,,,,,,,,FA57,,,,29.534233,-82.524533,Ground pad south of ball diamond.,50 FT TREES 100 FT SE; 35 FT PLINE 200 FT SE TO SW; AND 60 FT TREES 100 FT W OF PAD,,40x40,,Asphalt,Yes,,yes,0,0,,0,0,,
2128,1,Arnold Palmer Hospital,Orlando,,FL,32806,,1,0,25,2013-10-18 12:01:43,2081,2017-04-20 20:46:51,2128,92 WEST MILLER ST,,1,0,0,0,0,1,321-841-5477,,,,,,,,,,,,,,3FD5,155.340 PL07,,,28.523125,-81.380186,Rooftop helipad west side of hospital on top of parking structure marked with &quot;H&quot;. Contact Air Care with ETA on 155.340 PL7. (or use 123.050),Hospital east of pad and parking structure on west side of pad. there is small tower about 100&#039; tall <1/4 mile west of the helipad between Interstate 4 the railroad tracks.,,59x45,,concrete,yes,,yes,0,0,,0,0,,
32200,1,ARTH - ENTRANCE TO ARTHREX BUILDING,Ave Maria,,FL,34142,,2,0,3011,2017-10-16 16:46:32,3011,2019-11-09 17:09:59,32200,6875 Arthrex Commerce Dr,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,26.2945,-81.4425,,LZ is on 858&#044; at the entrance to the Arthrex facility,LZ is on 858&#044; at the entrance to the Arthrex facility,,,,,,,0,0,,0,0,,
32199,1,AVEM - AVE MARIA,Ave Maria,,FL,34142,,2,0,3011,2017-10-16 16:45:32,3011,2019-11-09 17:12:16,32199,5050 Immokalee Rd,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,26.340833,-81.440667,,Landing at soccer field without immediate obsructions,Landing at soccer field without immediate obsructions,,,,,,,0,0,,0,0,,
6084,1,Baptist Clay Med Ctr,Fleming Island,,FL,,,1,0,2069,2015-11-30 16:39:08,2069,2015-12-03 20:04:10,6084,1747 Baptist Clay Dr.,,0,0,0,0,0,0,904-516-1000,,,,,,,,,,,,,,,,,,30.078636,-81.710533,60X60 Conrete Fenced pad,None,,50X50,,Concrete,Yes,Surface,Yes,0,0,,0,0,,
2129,1,Baptist Hospital,Pensacola,,FL,32501,,1,0,25,2013-10-18 12:08:27,2801,2017-04-25 04:29:51,2129,1000 W MORENO ST,,2,0,0,0,0,0,850-434-4586,,,,,,,,,,,,,,FL85,,,,30.429614,-87.2307,Rooftop helipad.,Pensacola airport 3.5 miles NE of hospital. PLINES EAST OF FACILITY,,52x52,,Concrete,yes,,yes,0,0,,0,0,,
2131,1,Baptist Medical Center,Jacksonville,,FL,32207,,1,0,25,2013-10-18 12:28:30,271,2015-12-11 14:22:56,2131,800 PRUDENTIAL DR,,0,1,1,1,0,1,904-202-2000,,,,904-202-2000,,,,,,,,,,7FD4,,,,30.316217,-81.664536,Rooftop pad west side of hospital. Hospital N of i95 and S of Acosta Bridge off St John&#039;s River.,Navy traffic low level along river does not monitor 123.025.,East-West,50x50,12500,Steel,yes,150&#039; AGL,yes,0,0,,0,0,,
33078,1,Baptist Medical Center North,Jacksonville,,FL,32218,,1,0,2069,2018-12-30 18:27:03,2069,2018-12-30 18:37:07,33078,11250 Baptist Health Drive,,0,0,0,0,0,0,(904) 202-6905,,,,,,,,,,,,,,,118.3,,,30.440833,-81.720833,,,,,,Concrete,Yes,,Yes,0,0,,0,0,,Inside KJAX Class C surface area - contact KJAX tower on 118.3.
2133,1,Baptist Medical Center of Nassau,Fernandina Beach,,FL,32034,,1,0,25,2013-10-18 12:40:18,2069,2015-12-03 20:12:23,2133,1250 18TH STREET,,0,0,0,0,0,0,904-321-3500,,,,,,,,,,,,,,FD91,,,,30.653639,-81.448142,Fenced Ground pad north side of hospital. Hospital located south of school ball fields.,30&#039; TREES 250&#039; EAST,,68x68,,asphalt,yes,,yes,0,0,,0,0,,
6108,1,Baptist Medical Center-South,jacksonville,,FL,32258,,1,0,2069,2015-12-03 20:29:11,2069,2015-12-11 11:04:41,6108,14550 Old St. Augustine road,,0,0,0,0,0,0,904-271-6000,,,,904-271-6122,,,,,,,,,,,,,,30.137465,-81.534953,50X50 Fenced Concrete pad on Southside of Hospital next to ER,30&#039; Trees 130&#039; West and south of Pad,,50X50,,Cocrete,Yes,45&#039;,Yes,0,0,,0,0,,
2132,1,Baptist Medical Center/Beaches Heliport,Jacksonville Beach,,FL,32250,,1,0,25,2013-10-18 12:33:58,2069,2015-12-11 10:53:54,2132,1350 13TH AVE. SO.,,0,0,0,0,0,0,904-627-2900,,,,,,,,,,,,,,45FD,,,,30.272786,-81.397975,Ground pad south side of 2 Story hospital.,33 FT LIGHT 250 FT FROM PAD. Trees east and south of pad.,SW to NE,40x40,,concrete,yes,,yes,0,0,,0,0,,
6774,1,Bartow Municipal Airport,Bartow,,FL,33830,,3,0,2534,2017-02-01 15:44:07,2534,2017-02-01 16:05:50,6774,5993 Airport Blvd,,0,0,0,0,0,0,863.533.1195,,,,,,,,,,,,,,KBOW,,863.533.9004,,27.943728,-81.784544,,,,,,,,,,1,1,,0,0,,
2134,1,Bartow Regional Medical Center,Bartow,,FL,33830,,1,0,25,2013-10-18 12:46:42,271,2016-03-08 08:02:34,2134,2200 OSPREY BLVD,,0,0,0,0,0,0,863-519-1508 ext 1508,,,,,,,,,,,,,,1FL7,,,,27.918978,-81.844839,Ground pad NW side of hospital&#044; inside KBOW airspace.  Hospital located north side of town.,Light poles around parking lot. Trees south and west of pad.,,60x60,,Concrete,yes,,yes,0,0,,0,0,,
2135,1,Bay Medical Center,Panama City,,FL,32401,,1,0,25,2013-10-18 12:54:56,25,2013-10-18 12:54:56,2135,"615 N BONITA AVENUE PANAMA CITY, FL",,0,0,0,0,0,0,850-747-6079,,,,,,,,,,,,,,8FL4,,,,30.157803,-85.649639,Ground pad located south of the hospital.,Power lines south and east of pad. Building on west side.,,60x60,,concrete,yes,,yes,0,0,,0,0,,Ground transport needed to hospital.
2136,1,Bay Pines  C.W Young Veterans Administration,St . Petersburg,,FL,33744,,1,0,25,2013-10-18 13:28:15,271,2015-07-03 04:28:41,2136,10&#044;000 BAY PINES BLVD,,0,0,0,0,0,0,,7275806548,,,,Dean Armstrong,,,,123.025,,,,,FD64,,,,27.810939,-82.779733,Rooftop pad is primary.  Alternate is ground helipad to west side of hospital.,Gazebo to the NE of the ground pad.  Trees on north side of pad and buildings south&#044; east&#044; and northeast side of pad.,From 360-degrees to 210-degrees,56x56,,concrete,yes,0,yes,0,0,,27.810372,-82.783192,,Rooftop pad is primary.  Alternate is ground helipad to west side of hospital.
